,Zipcode,Hospital overall rating,Emergency Services_Yes
787,30058,2.0,1.0
788,30060,3.0,1.0
789,30076,2.0,1.0
790,30078,3.0,1.0
791,30097,3.0,1.0
792,30106,2.0,1.0
793,30110,3.0,1.0
794,30115,3.0,1.0
795,30117,3.0,1.0
796,30120,4.0,1.0
797,30134,3.0,1.0
798,30141,3.0,1.0
799,30143,3.0,1.0
800,30162,3.0,1.0
801,30165,4.0,1.0
802,30180,3.0,1.0
803,30214,2.0,1.0
804,30223,3.0,1.0
805,30240,4.0,1.0
806,30265,3.5,0.5
807,30274,2.0,1.0
808,30281,2.0,1.0
809,30286,3.0,1.0
810,30303,1.0,1.0
811,30308,3.0,1.0
812,30309,3.0,1.0
813,30312,1.0,1.0
814,30322,4.0,1.0
815,30342,3.5,1.0
816,30401,3.0,1.0
817,30417,4.0,1.0
818,30434,3.0,1.0
819,30458,2.0,1.0
820,30474,3.0,1.0
821,30501,3.0,1.0
822,30512,3.0,1.0
823,30513,3.0,1.0
824,30529,2.0,1.0
825,30533,3.0,1.0
826,30535,3.0,1.0
827,30546,4.0,1.0
828,30553,3.0,1.0
829,30577,3.0,1.0
830,30606,3.5,1.0
831,30635,4.0,1.0
832,30642,3.0,1.0
833,30655,2.0,1.0
834,30673,3.0,1.0
835,30680,3.0,1.0
836,30701,5.0,1.0
837,30705,3.0,1.0
838,30720,4.0,1.0
839,30824,3.0,1.0
840,30901,3.0,1.0
841,30904,2.0,1.0
842,30909,2.0,1.0
843,30912,1.0,1.0
844,31008,3.0,1.0
845,31014,3.0,1.0
846,31015,3.0,1.0
847,31021,4.0,1.0
848,31023,3.0,1.0
849,31024,3.0,1.0
850,31036,3.0,1.0
851,31061,3.0,1.0
852,31069,3.0,1.0
853,31082,3.0,1.0
854,31093,4.0,1.0
855,31201,2.0,1.0
856,31210,4.0,1.0
857,31217,3.0,1.0
858,31310,3.0,1.0
859,31329,3.0,1.0
860,31403,2.0,1.0
861,31412,3.0,1.0
862,31419,2.0,1.0
863,31501,3.0,1.0
864,31510,3.0,1.0
865,31513,3.0,1.0
866,31520,3.0,1.0
867,31533,3.0,1.0
868,31539,3.0,1.0
869,31545,3.0,1.0
870,31558,3.0,1.0
871,31603,3.0,1.0
872,31620,3.0,1.0
873,31703,1.0,1.0
874,31719,3.0,1.0
875,31750,3.0,1.0
876,31768,3.0,1.0
877,31774,3.0,0.0
878,31792,3.0,1.0
879,31793,2.0,1.0
880,31901,2.0,1.0
881,31909,5.0,0.0
882,31995,3.0,1.0
883,32034,3.0,1.0
884,32055,3.0,1.0
885,32060,3.0,1.0
886,32068,3.0,1.0
887,32073,3.0,1.0
888,32086,3.0,1.0
889,32091,3.0,1.0
890,32114,2.0,1.0
891,32117,4.0,1.0
892,32159,3.0,1.0
893,32164,3.0,1.0
894,32170,2.0,1.0
895,32177,2.0,1.0
896,32204,3.0,1.0
897,32207,3.0,1.0
898,32209,1.0,1.0
899,32216,3.0,1.0
900,32224,4.0,1.0
901,32250,4.0,1.0
902,32308,2.5,1.0
903,32348,2.0,1.0
904,32401,3.0,1.0
905,32405,3.0,1.0
906,32435,4.0,1.0
907,32446,3.0,1.0
908,32456,4.0,1.0
909,32501,3.0,1.0
910,32504,3.0,1.0
911,32514,3.0,1.0
912,32539,3.0,1.0
913,32547,3.0,1.0
914,32550,4.0,1.0
915,32561,4.0,1.0
916,32565,3.0,1.0
917,32570,3.0,1.0
918,32578,4.0,1.0
919,32605,3.0,1.0
920,32610,2.0,1.0
921,32720,3.0,1.0
922,32763,3.0,1.0
923,32771,2.0,1.0
924,32778,3.0,1.0
925,32796,4.0,1.0
926,32803,2.0,1.0
927,32806,3.0,1.0
928,32901,3.0,1.0
929,32907,4.0,1.0
930,32932,4.0,1.0
931,32935,2.0,1.0
932,32940,4.0,1.0
933,32955,2.0,1.0
934,32960,2.0,1.0
935,32978,3.0,1.0
936,33012,2.0,1.0
937,33013,3.0,1.0
938,33016,3.0,1.0
939,33021,3.0,1.0
940,33024,4.0,1.0
941,33028,3.0,1.0
942,33029,4.0,1.0
943,33033,3.0,1.0
944,33040,1.0,1.0
945,33050,3.0,1.0
946,33063,2.0,1.0
947,33064,2.0,1.0
948,33065,2.0,1.0
949,33070,4.0,1.0
950,33134,3.0,1.0
951,33136,1.0,1.0
952,33140,3.0,1.0
953,33143,3.0,1.0
954,33146,3.0,1.0
955,33150,1.0,1.0
956,33155,2.0,1.0
957,33175,3.0,1.0
958,33176,3.0,1.0
959,33180,3.0,1.0
960,33196,3.0,1.0
961,33308,2.5,1.0
962,33316,2.0,1.0
963,33317,3.0,1.0
964,33321,2.0,1.0
965,33324,2.0,0.0
966,33331,3.0,1.0
967,33401,2.0,1.0
968,33407,1.0,1.0
969,33410,3.0,1.0
970,33414,2.0,1.0
971,33428,2.0,1.0
972,33430,3.0,1.0
973,33435,3.0,1.0
974,33440,3.0,1.0
975,33458,4.0,1.0
976,33462,2.0,1.0
977,33470,2.0,1.0
978,33484,2.0,1.0
979,33486,2.0,1.0
980,33511,3.0,1.0
981,33525,2.0,1.0
982,33541,3.0,1.0
983,33544,4.0,1.0
984,33563,3.0,1.0
985,33573,1.0,1.0
986,33606,2.0,1.0
987,33609,3.0,1.0
988,33613,2.0,1.0
989,33614,3.0,1.0
990,33615,2.0,1.0
991,33677,3.0,1.0
992,33701,2.0,1.0
993,33705,2.0,1.0
994,33707,2.0,1.0
995,33709,2.0,1.0
996,33710,2.0,1.0
997,33756,3.0,1.0
998,33770,2.0,1.0
999,33805,2.0,1.0
1000,33831,3.0,1.0
1001,33837,2.0,1.0
1002,33853,2.0,1.0
1003,33870,2.0,1.0
1004,33871,3.0,1.0
1005,33873,3.0,1.0
1006,33881,2.0,1.0
1007,33901,2.0,1.0
1008,33912,2.0,1.0
1009,33936,2.0,1.0
1010,33950,2.0,1.0
1011,33952,2.5,1.0
1012,33990,2.0,1.0
1013,34102,3.0,1.0
1014,34119,2.0,1.0
1015,34202,3.0,1.0
1016,34208,2.0,1.0
1017,34209,2.0,1.0
1018,34223,4.0,1.0
1019,34233,3.0,1.0
1020,34239,5.0,1.0
1021,34265,3.0,1.0
1022,34285,3.0,1.0
1023,34428,2.0,1.0
1024,34452,2.0,1.0
1025,34474,2.0,1.0
1026,34478,2.0,1.0
1027,34601,2.0,1.0
1028,34613,3.0,1.0
1029,34652,3.0,1.0
1030,34655,3.0,1.0
1031,34667,2.0,1.0
1032,34689,3.0,1.0
1033,34695,4.0,1.0
1034,34698,4.0,1.0
1035,34711,2.0,1.0
1036,34741,2.0,1.0
1037,34748,2.0,1.0
1038,34758,2.0,1.0
1039,34761,3.0,1.0
1040,34769,2.0,1.0
1041,34950,2.0,1.0
1042,34952,2.0,1.0
1043,34972,3.0,1.0
1044,34995,2.0,1.0
1045,35007,3.0,1.0
1046,35010,3.0,1.0
1047,35021,3.0,1.0
1048,35058,3.0,1.0
1049,35121,3.0,0.0
1050,35125,3.0,1.0
1051,35150,3.0,1.0
1052,35161,3.0,1.0
1053,35205,3.0,1.0
1054,35209,3.0,1.0
1055,35211,3.0,1.0
1056,35233,3.0,1.0
1057,35235,2.0,1.0
1058,35243,2.0,1.0
1059,35401,2.0,1.0
1060,35447,3.0,1.0
1061,35462,3.0,0.0
1062,35502,3.0,1.0
1063,35555,4.0,1.0
1064,35565,5.0,1.0
1065,35570,5.0,1.0
